phase,dataset_id,dataset_name,model_id,model_name,auroc,auprc,ece_ew,ece_em,brier,sce,recal_method
A,D1,PTB-XL,M1,MERL,0.9080521191077209,0.8298464113634335,0.0846901989606765,0.08449629573005239,0.12124723724259415,-0.08448846822670492,none
A,D1,PTB-XL,M2,ST-MEM,0.9137939046843073,0.839269593566552,0.0645539191750507,0.06457544783028885,0.11354721776866868,-0.0640069329683579,none
A,D1,PTB-XL,M3,HuBERT-ECG,0.9205873489044389,0.856330166800708,0.08345899334147808,0.08316792198393264,0.11413817012696865,-0.0831595010195787,none
A,D1,PTB-XL,M4,ECGFM-KED,0.9159224617627798,0.8431703824198683,0.05911958509435258,0.058953322520063425,0.11040008616695374,-0.05886241316190388,none
A,D1,PTB-XL,M5,ECG-FM,0.9213880445275132,0.8573854788731644,0.07374446184029837,0.07383665039897454,0.11235757962484663,-0.0736830499521269,none
A,D1,PTB-XL,M6,S4,0.912102498832007,0.8403340759003257,0.017229110940435725,0.013543424749805483,0.10784669693592101,-0.0025946175045037006,none
A,D3,CODE-15%,M1,MERL,0.9119959077201746,0.7916910999246799,0.07443067368206878,0.07441736341019811,0.10696035515985974,-0.07440853273806473,none
A,D3,CODE-15%,M2,ST-MEM,0.9192296378988867,0.8116556290949265,0.059235328466693556,0.05919219956543966,0.10131940475175015,-0.05917839978436629,none
A,D3,CODE-15%,M3,HuBERT-ECG,0.9215860878985063,0.8206576904837327,0.08248604930341243,0.08203764654295444,0.10732093166062762,-0.0820292020767927,none
A,D3,CODE-15%,M4,ECGFM-KED,0.9157417077931694,0.8057256823199013,0.05479587863584359,0.05444587885339619,0.10093682918411895,-0.05442361478706201,none
A,D3,CODE-15%,M5,ECG-FM,0.9198318265092539,0.8184891721862971,0.06839326767784853,0.06809089001900938,0.10258205412425796,-0.06807407587232689,none
A,D3,CODE-15%,M6,S4,0.9146160696907618,0.7994042179342276,0.013407869510756185,0.012022072736464906,0.09650480076478353,0.0017089808297964437,none
A,D4,CPSC2018,M1,MERL,0.9115856455811981,0.7750764318228877,0.07670943159770467,0.07351800340028593,0.1047481967136748,-0.07292499850703842,none
A,D4,CPSC2018,M2,ST-MEM,0.9158037977113137,0.7900373551384221,0.06312183426969029,0.05882705865728219,0.1000985011876928,-0.058334497411227586,none
A,D4,CPSC2018,M3,HuBERT-ECG,0.91972926696138,0.8090108126114899,0.08279959168999065,0.08140670589367027,0.10573645957417895,-0.08133766570222353,none
A,D4,CPSC2018,M4,ECGFM-KED,0.9183206037609855,0.7919396682285081,0.060840733848274736,0.05828816095735179,0.09958711089979862,-0.05600091807775257,none
A,D4,CPSC2018,M5,ECG-FM,0.9221756611918016,0.8160547784448229,0.06616755623473088,0.0646545890285105,0.09757697957213513,-0.06436386668266894,none
A,D4,CPSC2018,M6,S4,0.91959023050674,0.8040260864627821,0.027813346584629934,0.023837850151315225,0.09098950345724545,-0.0028563928555754964,none
B,D1,PTB-XL,M1,MERL,0.9080521191077209,0.8298464113634335,0.059418227786700875,0.06191075955582549,0.11741988706234292,-0.05836124700927363,temperature_scaling
B,D1,PTB-XL,M1,MERL,0.90805216433459,0.8298464113634335,0.022719689215600525,0.02100598754393112,0.1101190064947235,0.0013496593779159921,platt_scaling
B,D1,PTB-XL,M1,MERL,0.907327379475328,0.8129393408732879,0.020251638646623046,0.020800124364094844,0.11028008527843025,0.0014034625862626151,isotonic_regression
B,D1,PTB-XL,M1,MERL,0.9016999995974538,0.81551115751248,0.022840243423077864,0.0240600637257894,0.11434159212730292,-0.003941509240649194,learned_mlp_head
B,D1,PTB-XL,M2,ST-MEM,0.9137939046843073,0.8392696410254059,0.048357668822638054,0.049660223434226915,0.11175036393653867,-0.046457587172742364,temperature_scaling
B,D1,PTB-XL,M2,ST-MEM,0.9137939492054666,0.839269593566552,0.020799217979629525,0.017145195514072724,0.10726245383544361,0.004177216814048543,platt_scaling
B,D1,PTB-XL,M2,ST-MEM,0.9127541901655946,0.8248226391977159,0.02308726689501942,0.019420235087633738,0.10795523471392073,0.0039094279134721105,isotonic_regression
B,D1,PTB-XL,M2,ST-MEM,0.9090477388538343,0.8317094270469522,0.023993031230615282,0.023585117284648613,0.11050758662023326,-0.00034513093760835155,learned_mlp_head
B,D1,PTB-XL,M3,HuBERT-ECG,0.9205873905892558,0.856330166800708,0.06207591154622836,0.0625694585601263,0.11114321683825339,-0.05875459929316399,temperature_scaling
B,D1,PTB-XL,M3,HuBERT-ECG,0.9205873905892558,0.856330166800708,0.025079431578742116,0.02457345003762489,0.10338425317538316,0.008487203946537243,platt_scaling
B,D1,PTB-XL,M3,HuBERT-ECG,0.9197098160335656,0.8410697822250685,0.02210479579417897,0.021427058030495685,0.10363883732586701,0.008313227386779,isotonic_regression
B,D1,PTB-XL,M3,HuBERT-ECG,0.9161550312412563,0.8475308592395454,0.02262283983118423,0.01967291312314037,0.10594350440778007,-0.0009498119523682801,learned_mlp_head
B,D1,PTB-XL,M4,ECGFM-KED,0.9159224617627798,0.8431703824198683,0.04614678575919989,0.046938455532735915,0.10897209968533075,-0.04378182294759194,temperature_scaling
B,D1,PTB-XL,M4,ECGFM-KED,0.9159224617627798,0.8431703824198683,0.01723777973303465,0.016894869799079136,0.10511235517272835,0.0032657400233004697,platt_scaling
B,D1,PTB-XL,M4,ECGFM-KED,0.9151295963304422,0.8282831454233005,0.015493847432367785,0.01754375071042901,0.10545372825643429,0.0032815257807163314,isotonic_regression
B,D1,PTB-XL,M4,ECGFM-KED,0.9098401218878308,0.8328529573840955,0.03191801044653296,0.03124485126385517,0.10992610239182635,3.4124332096915486e-05,learned_mlp_head
