dataset_id,dataset_name,model_id,model_name,recal_method,auroc,ece_ew,brier,sce
D1,PTB-XL,M1,MERL,isotonic_regression,0.907327379475328,0.020251638646623,0.1102800852784302,0.0014034625862626
D1,PTB-XL,M2,ST-MEM,platt_scaling,0.9137939492054666,0.0207992179796295,0.1072624538354436,0.0041772168140485
D1,PTB-XL,M3,HuBERT-ECG,isotonic_regression,0.9197098160335656,0.0221047957941789,0.103638837325867,0.008313227386779
D1,PTB-XL,M4,ECGFM-KED,isotonic_regression,0.9151295963304422,0.0154938474323677,0.1054537282564342,0.0032815257807163
D1,PTB-XL,M5,ECG-FM,isotonic_regression,0.9204823697833644,0.0187763448454375,0.1042188844932667,-0.0002956426708125
D3,CODE-15%,M1,MERL,isotonic_regression,0.911804305301454,0.0137885944303746,0.0976722956379337,0.0010489435606325
D3,CODE-15%,M2,ST-MEM,isotonic_regression,0.9191244685450978,0.0121023845043033,0.0952479393151401,0.0020050247851759
D3,CODE-15%,M3,HuBERT-ECG,isotonic_regression,0.9214636302458392,0.0128008586923281,0.0953172200505478,-0.0017165260557085
D3,CODE-15%,M4,ECGFM-KED,isotonic_regression,0.9156660334974293,0.0147691587823753,0.0962662802312308,0.0027324047395959
D3,CODE-15%,M5,ECG-FM,isotonic_regression,0.9197336302449668,0.012875877999328,0.0947432297271629,-9.392468525717626e-05
D4,CPSC2018,M1,MERL,isotonic_regression,0.9088687031053628,0.0302691594509024,0.0964541219400634,0.0011330727406783
D4,CPSC2018,M2,ST-MEM,isotonic_regression,0.9140977783126684,0.0296362241956507,0.0953912098470177,0.0005773793440512
D4,CPSC2018,M3,HuBERT-ECG,platt_scaling,0.91972926696138,0.0318191391261475,0.0943780712259044,-0.0059841114030565
D4,CPSC2018,M4,ECGFM-KED,platt_scaling,0.9183203283790308,0.0322191328214181,0.093591835707222,0.0010799141678939
D4,CPSC2018,M5,ECG-FM,isotonic_regression,0.9199993218530556,0.0282331150200404,0.0915838378705808,0.0007023345251887
