endpoint,endpoint_class,model_id,model,dataset_id,dataset,alpha,target_coverage,method,n_test,n_cal,n_test_pos,n_test_neg,coverage,coverage_tp,coverage_tn,avg_set_size,singleton_rate,empty_rate,both_rate,conformal_quantile,quantile_is_inf
MI,MI,M1,MERL,D1,PTB-XL,0.1,0.9,raw,299,297,40,259,0.8929765886287625,0.45,0.9613899613899614,1.120401337792642,0.8795986622073578,0.0,0.12040133779264214,0.7164505411570633,False
MI,MI,M1,MERL,D1,PTB-XL,0.1,0.9,platt,299,297,40,259,0.8929765886287625,0.275,0.9884169884169884,1.0702341137123745,0.9297658862876255,0.0,0.07023411371237458,0.6348625518809037,False
MI,MI,M1,MERL,D1,PTB-XL,0.1,0.9,isotonic,299,297,40,259,0.9096989966555183,0.35,0.9961389961389961,1.0969899665551839,0.903010033444816,0.0,0.09698996655518395,0.5384615384615384,False
MI,MI,M1,MERL,D1,PTB-XL,0.1,0.9,temperature,299,297,40,259,0.8929765886287625,0.45,0.9613899613899614,1.120401337792642,0.8795986622073578,0.0,0.12040133779264214,0.6346602240346257,False
MI,MI,M1,MERL,D1,PTB-XL,0.2,0.8,raw,299,297,40,259,0.7424749163879598,0.125,0.8378378378378378,0.8327759197324415,0.8327759197324415,0.16722408026755853,0.0,0.2235149153358697,False
MI,MI,M1,MERL,D1,PTB-XL,0.2,0.8,platt,299,297,40,259,0.7892976588628763,0.025,0.9073359073359073,0.8729096989966555,0.8729096989966555,0.12709030100334448,0.0,0.2626488020975485,False
MI,MI,M1,MERL,D1,PTB-XL,0.2,0.8,isotonic,299,297,40,259,0.7892976588628763,0.025,0.9073359073359073,0.8729096989966555,0.8729096989966555,0.12709030100334448,0.0,0.2692307692307692,False
MI,MI,M1,MERL,D1,PTB-XL,0.2,0.8,temperature,299,297,40,259,0.7424749163879598,0.125,0.8378378378378378,0.8327759197324415,0.8327759197324415,0.16722408026755853,0.0,0.3225776046758912,False
MI,MI,M1,MERL,D5,MIMIC-IV-ECG,0.1,0.9,raw,301,298,62,239,0.9036544850498339,0.6935483870967742,0.9581589958158996,1.2425249169435215,0.7574750830564784,0.0,0.2425249169435216,0.8248799682911252,False
MI,MI,M1,MERL,D5,MIMIC-IV-ECG,0.1,0.9,platt,301,298,62,239,0.9136212624584718,0.5806451612903226,1.0,1.2491694352159468,0.7508305647840532,0.0,0.24916943521594684,0.7432615296258143,False
MI,MI,M1,MERL,D5,MIMIC-IV-ECG,0.1,0.9,isotonic,301,298,62,239,0.9136212624584718,0.6129032258064516,0.9916317991631799,1.2524916943521596,0.7475083056478405,0.0,0.25249169435215946,0.5681818181818181,False
MI,MI,M1,MERL,D5,MIMIC-IV-ECG,0.1,0.9,temperature,301,298,62,239,0.9036544850498339,0.6935483870967742,0.9581589958158996,1.2425249169435215,0.7574750830564784,0.0,0.2425249169435216,0.6897322545119203,False
MI,MI,M1,MERL,D5,MIMIC-IV-ECG,0.2,0.8,raw,301,298,62,239,0.8305647840531561,0.5161290322580645,0.9121338912133892,1.0498338870431894,0.9501661129568106,0.0,0.04983388704318937,0.5725190907742871,False
MI,MI,M1,MERL,D5,MIMIC-IV-ECG,0.2,0.8,platt,301,298,62,239,0.8239202657807309,0.3225806451612903,0.9539748953974896,1.0166112956810631,0.9833887043189369,0.0,0.016611295681063124,0.5295854439109583,False
MI,MI,M1,MERL,D5,MIMIC-IV-ECG,0.2,0.8,isotonic,301,298,62,239,0.8205980066445183,0.3064516129032258,0.9539748953974896,0.9966777408637874,0.9966777408637874,0.0033222591362126247,0.0,0.4375,False
MI,MI,M1,MERL,D5,MIMIC-IV-ECG,0.2,0.8,temperature,301,298,62,239,0.8305647840531561,0.5161290322580645,0.9121338912133892,1.0498338870431894,0.9501661129568106,0.0,0.04983388704318937,0.5375763749006028,False
MI,MI,M2,ST-MEM,D1,PTB-XL,0.1,0.9,raw,299,297,40,259,0.8662207357859532,0.45,0.9305019305019305,1.0100334448160535,0.9899665551839465,0.0,0.010033444816053512,0.5246423034367842,False
MI,MI,M2,ST-MEM,D1,PTB-XL,0.1,0.9,platt,299,297,40,259,0.8762541806020067,0.375,0.9536679536679536,1.0033444816053512,0.9966555183946488,0.0,0.0033444816053511705,0.5046530850414124,False
MI,MI,M2,ST-MEM,D1,PTB-XL,0.1,0.9,isotonic,299,297,40,259,0.903010033444816,0.35,0.9884169884169884,1.0501672240802675,0.9498327759197325,0.0,0.05016722408026756,0.5,False
MI,MI,M2,ST-MEM,D1,PTB-XL,0.1,0.9,temperature,299,297,40,259,0.8662207357859532,0.45,0.9305019305019305,1.0100334448160535,0.9899665551839465,0.0,0.010033444816053512,0.5100092612301157,False
MI,MI,M2,ST-MEM,D1,PTB-XL,0.2,0.8,raw,299,297,40,259,0.7357859531772575,0.275,0.806949806949807,0.8093645484949833,0.8093645484949833,0.19063545150501673,0.0,0.07088805313055499,False
MI,MI,M2,ST-MEM,D1,PTB-XL,0.2,0.8,platt,299,297,40,259,0.7892976588628763,0.0,0.9111969111969112,0.862876254180602,0.862876254180602,0.13712374581939799,0.0,0.22527190554435983,False
MI,MI,M2,ST-MEM,D1,PTB-XL,0.2,0.8,isotonic,299,297,40,259,0.8294314381270903,0.175,0.9305019305019305,0.9163879598662207,0.9163879598662207,0.08361204013377926,0.0,0.13043478260869565,False
MI,MI,M2,ST-MEM,D1,PTB-XL,0.2,0.8,temperature,299,297,40,259,0.7357859531772575,0.275,0.806949806949807,0.8093645484949833,0.8093645484949833,0.19063545150501673,0.0,0.2602921064744254,False
