endpoint,dataset,model,method,integrated_nb,integrated_vs_treat_all,nb_at_0.10,nb_at_0.15,nb_at_0.20
MI,PTB-XL,MERL,raw,0.010024,0.024559,0.059086,0.041117,0.029264
MI,PTB-XL,MERL,isotonic,0.009828,0.024363,0.051654,0.040331,0.029264
MI,PTB-XL,MERL,platt,0.009949,0.024484,0.050167,0.042298,0.026756
MI,PTB-XL,MERL,treat_all,-0.014535,0.0,0.037533,-0.019083,-0.082776
MI,PTB-XL,MERL,treat_none,0.0,0.014535,0.0,0.0,0.0
MI,PTB-XL,ST-MEM,raw,0.012404,0.026939,0.065775,0.052331,0.047659
MI,PTB-XL,ST-MEM,isotonic,0.012294,0.026828,0.060944,0.046233,0.041806
MI,PTB-XL,ST-MEM,platt,0.012037,0.026571,0.060944,0.049774,0.038462
MI,PTB-XL,ST-MEM,treat_all,-0.014535,0.0,0.037533,-0.019083,-0.082776
MI,PTB-XL,ST-MEM,treat_none,0.0,0.014535,0.0,0.0,0.0
MI,PTB-XL,HuBERT-ECG,raw,0.011989,0.026523,0.061687,0.049774,0.046823
MI,PTB-XL,HuBERT-ECG,isotonic,0.01234,0.026874,0.066518,0.049774,0.038462
MI,PTB-XL,HuBERT-ECG,platt,0.012265,0.0268,0.061315,0.054299,0.040134
MI,PTB-XL,HuBERT-ECG,treat_all,-0.014535,0.0,0.037533,-0.019083,-0.082776
MI,PTB-XL,HuBERT-ECG,treat_none,0.0,0.014535,0.0,0.0,0.0
MI,PTB-XL,ECGFM-KED,raw,0.010319,0.024853,0.060944,0.043085,0.0301
MI,PTB-XL,ECGFM-KED,isotonic,0.010567,0.025101,0.061687,0.041117,0.037625
MI,PTB-XL,ECGFM-KED,platt,0.010611,0.025145,0.06243,0.048003,0.041806
MI,PTB-XL,ECGFM-KED,treat_all,-0.014535,0.0,0.037533,-0.019083,-0.082776
MI,PTB-XL,ECGFM-KED,treat_none,0.0,0.014535,0.0,0.0,0.0
MI,PTB-XL,ECG-FM,raw,0.015675,0.03021,0.085098,0.067086,0.049331
MI,PTB-XL,ECG-FM,isotonic,0.014121,0.028656,0.081011,0.068857,0.056856
MI,PTB-XL,ECG-FM,platt,0.015323,0.029857,0.081754,0.065512,0.059365
MI,PTB-XL,ECG-FM,treat_all,-0.014535,0.0,0.037533,-0.019083,-0.082776
MI,PTB-XL,ECG-FM,treat_none,0.0,0.014535,0.0,0.0,0.0
MI,PTB-XL,S4D,raw,0.01269,0.027224,0.070977,0.051741,0.036789
MI,PTB-XL,S4D,isotonic,0.011137,0.025671,0.072092,0.053512,0.034281
MI,PTB-XL,S4D,platt,0.013114,0.027649,0.075065,0.057446,0.048495
MI,PTB-XL,S4D,treat_all,-0.014535,0.0,0.037533,-0.019083,-0.082776
MI,PTB-XL,S4D,treat_none,0.0,0.014535,0.0,0.0,0.0
MI,MIMIC-IV-ECG,MERL,raw,0.026858,0.019343,0.134736,0.110807,0.097176
MI,MIMIC-IV-ECG,MERL,isotonic,0.025821,0.018306,0.131414,0.113543,0.096346
MI,MIMIC-IV-ECG,MERL,platt,0.026487,0.018972,0.117756,0.111198,0.098837
MI,MIMIC-IV-ECG,MERL,treat_all,0.007515,0.0,0.117756,0.065859,0.007475
MI,MIMIC-IV-ECG,MERL,treat_none,0.0,-0.007515,0.0,0.0,0.0
MI,MIMIC-IV-ECG,ST-MEM,raw,0.024366,0.016851,0.11997,0.10514,0.08887
MI,MIMIC-IV-ECG,ST-MEM,isotonic,0.024606,0.017091,0.130306,0.102208,0.075581
MI,MIMIC-IV-ECG,ST-MEM,platt,0.024384,0.016869,0.117756,0.107485,0.08887
MI,MIMIC-IV-ECG,ST-MEM,treat_all,0.007515,0.0,0.117756,0.065859,0.007475
MI,MIMIC-IV-ECG,ST-MEM,treat_none,0.0,-0.007515,0.0,0.0,0.0
MI,MIMIC-IV-ECG,HuBERT-ECG,raw,0.019193,0.011678,0.110373,0.085988,0.063123
MI,MIMIC-IV-ECG,HuBERT-ECG,isotonic,0.021552,0.014037,0.128092,0.096736,0.071429
MI,MIMIC-IV-ECG,HuBERT-ECG,platt,0.021239,0.013724,0.117756,0.101817,0.063123
MI,MIMIC-IV-ECG,HuBERT-ECG,treat_all,0.007515,0.0,0.117756,0.065859,0.007475
MI,MIMIC-IV-ECG,HuBERT-ECG,treat_none,0.0,-0.007515,0.0,0.0,0.0
