cell,model_id,model,dataset_id,dataset,n_test,n_valid_classes,macro_auroc,macro_ece,macro_adaptive_ece,macro_classwise_ece,macro_brier,macro_nll,macro_sce,macro_cal_slope,macro_cal_intercept
M1_D1,M1,MERL,D1,PTB-XL,299,5,0.827814390483427,0.08705459144320224,0.08444447773427753,0.08705459144320224,0.12213440765443515,0.4342583928034317,-0.0032417421130284175,0.44055431594417555,-0.49517940035047514
M2_D1,M2,ST-MEM,D1,PTB-XL,299,5,0.8376744414753923,0.12392380715040019,0.11201900998701808,0.12392380715040019,0.13478575361783374,0.5589778476956071,-8.674424760131416e-05,0.28371994379109794,-0.6098908789116668
M3_D1,M3,HuBERT-ECG,D1,PTB-XL,299,5,0.7865175117479419,0.13647971054323926,0.12683020413447607,0.13647971054323926,0.14212814882708294,0.6427739768204899,-0.0006736453437150208,0.24625633370029068,-0.7094533957475029
M4_D1,M4,ECGFM-KED,D1,PTB-XL,299,5,0.7693746227157636,0.07919410705456371,0.08863243090985147,0.07919410705456371,0.13269528580064022,0.4612991892294184,0.006844032990702756,0.4522356848069161,-0.7453687095035763
M5_D1,M5,ECG-FM,D1,PTB-XL,299,5,0.8148076014383872,0.0882128709031403,0.08517527529331939,0.0882128709031403,0.1247988528654701,0.4461627051393595,0.0083201301539142,0.444841078736113,-0.62299226537722
M6_D1,M6,S4D,D1,PTB-XL,299,5,0.7711528773334233,0.06427627211234177,0.059893142350002704,0.06427627211234177,0.12991514583080618,0.4239282604558009,0.006869115721427796,0.8062573059110433,-0.36516859054435236
M1_D3,M1,MERL,D3,CODE-15%,1197,7,0.8645279546680609,0.019883662640108473,0.018872086470794563,0.019883662640108473,0.04385686710444412,0.15016416406675528,0.001746468939725453,0.57631441726377,-0.9624459724630932
M2_D3,M2,ST-MEM,D3,CODE-15%,1197,7,0.9477375021792888,0.02830300850287516,0.019689274937001903,0.02830300850287516,0.04093988131276905,0.14490110870297382,0.0003517833054036177,0.4059592693300767,-0.5602656722971104
M3_D3,M3,HuBERT-ECG,D3,CODE-15%,1197,7,0.8777175808313947,0.03248316842886134,0.025818227497815347,0.03248316842886134,0.04602066882268637,0.16952925773077102,-0.000464263289838229,0.3785057446612155,-1.0045528677108047
M5_D3,M5,ECG-FM,D3,CODE-15%,1197,7,0.6683775733951902,0.024222054167408327,0.028765789464459558,0.024222054167408327,0.0526179379421423,0.19979409196192663,0.0027107989779091676,0.24103957336488216,-2.4834418661982918
M6_D3,M6,S4D,D3,CODE-15%,1197,7,0.6847558274965045,0.010440061208978248,0.017887714755916637,0.010440061208978248,0.04713855572488851,0.1676098208792966,0.0005411389319995867,0.4628457424340629,-1.993077818795974
M1_D4,M1,MERL,D4,CPSC2018,1031,9,0.9098121080934727,0.024272308324040415,0.02157618282537047,0.024272308324040415,0.04790675105958126,0.18101045655359296,-0.0005507566652698791,0.6804438488226879,-0.4496399976394651
M2_D4,M2,ST-MEM,D4,CPSC2018,1031,9,0.9500583406351013,0.0338682492046098,0.02717181400649372,0.0338682492046098,0.04177522433259536,0.18862574745137597,0.0007655317476981066,0.453342862502702,-0.5371537725011897
M3_D4,M3,HuBERT-ECG,D4,CPSC2018,1031,9,0.8758287097046051,0.05061675804428918,0.04776504690368357,0.05061675804428918,0.06757413367482656,0.27032828835962697,0.0038490965916899277,0.4450112179402566,-0.7562960971406903
M4_D4,M4,ECGFM-KED,D4,CPSC2018,1031,9,0.8213359419852257,0.025138497712762886,0.025335633631022356,0.025138497712762886,0.07234729894503739,0.25704989072820245,0.0024942002095421087,0.7250280526975921,-0.6445372476547132
M5_D4,M5,ECG-FM,D4,CPSC2018,1031,9,0.8466249903214048,0.032299351798325104,0.03030374073336088,0.032299351798325104,0.06655766233472334,0.23883235852321386,0.0017654224133553586,0.6430060541375263,-0.6105832565146322
M6_D4,M6,S4D,D4,CPSC2018,1031,9,0.8029300974306325,0.023193840557272527,0.027079909535818538,0.023193840557272527,0.07543248535424546,0.26544979747469527,0.00030804074155295,0.9618071586069719,-0.08830584463990776
M1_D5,M1,MERL,D5,MIMIC-IV-ECG,301,5,0.8605029729414468,0.07383963154519659,0.06781002666112061,0.07383963154519659,0.08217540969966883,0.35120706747591995,-0.005251537491384986,0.38178708976780074,-0.23882365946335735
M2_D5,M2,ST-MEM,D5,MIMIC-IV-ECG,301,5,0.8536941976456646,0.08008812693383287,0.07308191569175312,0.08008812693383287,0.08224963799884069,0.4042084864035983,-0.009925943526239425,0.322638684379149,-0.26558656317392737
M3_D5,M3,HuBERT-ECG,D5,MIMIC-IV-ECG,301,5,0.7948351498095936,0.10621972033552525,0.1025260896905948,0.10621972033552525,0.11322826241383892,0.4875345775291846,-0.015138495769300311,0.2830072715893691,-0.23260770241889261
M4_D5,M4,ECGFM-KED,D5,MIMIC-IV-ECG,301,5,0.7320354245126461,0.06334567052211204,0.06545075856768316,0.06334567052211204,0.09657834398428371,0.37612776507985346,-0.004142080806478926,0.35504677380110755,-0.38652503731610943
M5_D5,M5,ECG-FM,D5,MIMIC-IV-ECG,301,5,0.7712832024059468,0.07560172865011615,0.07290443444484991,0.07560172865011615,0.09747807119580335,0.3870657934037114,-0.0013160758292674074,0.34281240935545804,-0.4145678966174106
M6_D5,M6,S4D,D5,MIMIC-IV-ECG,301,5,0.7933731948260626,0.04341074132830229,0.04724246276169709,0.04341074132830229,0.08656886265063106,0.29090282334724177,-0.003940006091424528,0.8552792578886248,0.13894889509207248
