dataset_id,dataset_name,model_id,model_name,cal_size,method,ece_rank,brier_rank,ece_ew_mean,brier_mean,best_by_ece,best_by_brier
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,isotonic,1,2,0.073774,0.10916,True,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,monotone_platt,2,1,0.080604,0.10244,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,mlp_head,3,3,0.199311,0.178928,False,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,monotone_platt,1,1,0.067975,0.094866,True,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,isotonic,2,2,0.070471,0.10561,False,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,mlp_head,3,3,0.147869,0.138486,False,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,isotonic,1,2,0.056532,0.10205,True,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,monotone_platt,2,1,0.06485,0.093777,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,mlp_head,3,3,0.132957,0.133679,False,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,isotonic,1,2,0.044132,0.100403,True,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,monotone_platt,2,1,0.059707,0.091381,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,mlp_head,3,3,0.099387,0.115268,False,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,isotonic,1,2,0.04342,0.098279,True,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,monotone_platt,2,1,0.057175,0.089892,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,mlp_head,3,3,0.080984,0.107623,False,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,isotonic,1,2,0.041077,0.096955,True,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,monotone_platt,2,1,0.049341,0.088795,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,mlp_head,3,3,0.083419,0.10546,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,monotone_temperature,1,1,0.082896,0.14566,True,True
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,monotone_platt,2,3,0.109482,0.163996,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,isotonic,3,2,0.117977,0.162957,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,mlp_head,4,4,0.176177,0.185645,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,monotone_platt,1,1,0.079625,0.150608,True,True
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,isotonic,2,2,0.10006,0.155377,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,mlp_head,3,3,0.154506,0.172727,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,monotone_platt,1,2,0.072239,0.147647,True,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,isotonic,2,3,0.076039,0.150006,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,monotone_temperature,3,1,0.079656,0.144642,False,True
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,mlp_head,4,4,0.111925,0.158152,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,isotonic,1,2,0.081014,0.151122,True,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,monotone_platt,2,1,0.081839,0.150086,False,True
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,mlp_head,3,3,0.092669,0.152092,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,isotonic,1,1,0.07161,0.145735,True,True
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,monotone_platt,2,3,0.072152,0.148566,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,mlp_head,3,2,0.078047,0.146785,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,isotonic,1,1,0.067673,0.144612,True,True
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,monotone_platt,2,2,0.07587,0.14716,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,mlp_head,3,3,0.079193,0.147621,False,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,25,monotone_platt,1,1,0.038893,0.030153,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,25,isotonic,2,2,0.059622,0.045816,False,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,25,mlp_head,3,3,0.214038,0.145604,False,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,monotone_platt,1,1,0.040594,0.032303,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,isotonic,2,2,0.043196,0.040523,False,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,mlp_head,3,3,0.092959,0.074534,False,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,monotone_platt,1,1,0.031748,0.024203,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,isotonic,2,2,0.036268,0.035757,False,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,mlp_head,3,3,0.086347,0.068918,False,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,monotone_platt,1,1,0.030324,0.022319,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,isotonic,2,2,0.030481,0.033927,False,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,mlp_head,3,3,0.073474,0.053244,False,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,monotone_platt,1,1,0.028916,0.02097,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,isotonic,2,2,0.029397,0.033224,False,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,mlp_head,3,3,0.060969,0.042929,False,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,200,isotonic,1,2,0.026227,0.0324,True,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,200,monotone_platt,2,1,0.028846,0.020684,False,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,200,mlp_head,3,3,0.062461,0.044923,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,monotone_temperature,1,1,0.084413,0.082628,True,True
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,isotonic,2,2,0.093449,0.096332,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,mlp_head,3,3,0.246469,0.150345,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,isotonic,1,2,0.065629,0.088177,True,False
