dataset_id,dataset_name,model_id,model_name,cal_size,rep,method,auroc,ece_ew,brier
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,0,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,0,monotone_platt,0.738564,0.10966,0.164288
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,0,isotonic,0.736364,0.130753,0.179096
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,0,mlp_head,0.661628,0.20316,0.199779
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,1,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,1,monotone_temperature,0.755058,0.0823,0.146392
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,1,isotonic,0.727249,0.086391,0.151884
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,1,mlp_head,0.686634,0.158372,0.180109
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,2,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,2,monotone_platt,0.738818,0.131414,0.174976
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,2,isotonic,0.669767,0.140782,0.167232
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,2,mlp_head,0.735052,0.111717,0.1579
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,3,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,3,monotone_platt,0.738818,0.087373,0.152724
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,3,isotonic,0.714355,0.108359,0.156079
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,3,mlp_head,0.707224,0.184585,0.18514
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,4,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,4,monotone_temperature,0.754392,0.083492,0.144929
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,4,isotonic,0.712457,0.123601,0.160492
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,4,mlp_head,0.676463,0.223049,0.205295
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,0,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,0,monotone_platt,0.738818,0.085713,0.153046
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,0,isotonic,0.735495,0.104473,0.156709
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,0,mlp_head,0.74345,0.126562,0.158952
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,1,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,1,monotone_platt,0.738818,0.084317,0.150815
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,1,isotonic,0.73667,0.111202,0.158425
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,1,mlp_head,0.743272,0.108358,0.151627
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,2,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,2,monotone_platt,0.738818,0.083272,0.148544
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,2,isotonic,0.731807,0.095448,0.156356
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,2,mlp_head,0.727267,0.219016,0.196814
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,3,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,3,monotone_platt,0.738818,0.05657,0.14606
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,3,isotonic,0.722183,0.069521,0.145394
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,3,mlp_head,0.595237,0.142038,0.178226
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,4,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,4,monotone_platt,0.738818,0.088252,0.154575
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,4,isotonic,0.687057,0.119654,0.16
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,4,mlp_head,0.737911,0.176554,0.178018
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,0,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,0,monotone_platt,0.738818,0.072269,0.146129
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,0,isotonic,0.721491,0.061214,0.145257
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,0,mlp_head,0.716007,0.087648,0.150646
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,1,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,1,monotone_platt,0.738818,0.064019,0.145741
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,1,isotonic,0.730109,0.064472,0.149966
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,1,mlp_head,0.732012,0.105075,0.153422
