dataset_id,dataset_name,model_id,model_name,cal_size,method,auroc_mean,auroc_std,ece_ew_mean,ece_ew_std,brier_mean,brier_std
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,isotonic,0.788114,0.023024,0.073774,0.006807,0.10916,0.005303
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,mlp_head,0.718167,0.06342,0.199311,0.041219,0.178928,0.021803
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,monotone_platt,0.872518,0.008274,0.080604,0.007563,0.10244,0.003855
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,raw,0.835555,0.0,0.077066,0.0,0.101008,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,isotonic,0.815847,0.012128,0.070471,0.009438,0.10561,0.004491
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,mlp_head,0.796727,0.040701,0.147869,0.02881,0.138486,0.0111
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,monotone_platt,0.879274,0.0,0.067975,0.006422,0.094866,0.002468
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,raw,0.835555,0.0,0.077066,0.0,0.101008,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,isotonic,0.825392,0.0049,0.056532,0.013986,0.10205,0.003663
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,mlp_head,0.776178,0.052136,0.132957,0.026285,0.133679,0.010947
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,monotone_platt,0.879274,0.0,0.06485,0.006847,0.093777,0.003659
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,raw,0.835555,0.0,0.077066,0.0,0.101008,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,isotonic,0.815859,0.011096,0.044132,0.005733,0.100403,0.002713
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,mlp_head,0.830108,0.016783,0.099387,0.015181,0.115268,0.004511
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,monotone_platt,0.879274,0.0,0.059707,0.004065,0.091381,0.001467
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,raw,0.835555,0.0,0.077066,0.0,0.101008,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,isotonic,0.824977,0.005819,0.04342,0.003323,0.098279,0.001372
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,mlp_head,0.84864,0.011654,0.080984,0.007619,0.107623,0.00245
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,monotone_platt,0.879274,0.0,0.057175,0.003023,0.089892,0.001298
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,raw,0.835555,0.0,0.077066,0.0,0.101008,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,isotonic,0.825227,0.000865,0.041077,0.001181,0.096955,0.000124
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,mlp_head,0.854802,0.006224,0.083419,0.007734,0.10546,0.002746
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,monotone_platt,0.879274,0.0,0.049341,0.001007,0.088795,5.2e-05
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,raw,0.835555,0.0,0.077066,0.0,0.101008,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,isotonic,0.712038,0.022871,0.117977,0.019001,0.162957,0.009537
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,mlp_head,0.6934,0.025566,0.176177,0.038647,0.185645,0.016653
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,monotone_platt,0.738733,0.00012,0.109482,0.01798,0.163996,0.009087
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,monotone_temperature,0.754725,0.000333,0.082896,0.000596,0.14566,0.000731
D1,PTB-XL,M6_s4d_configured,Configured S4D,25,raw,0.753286,0.0,0.090232,0.0,0.14823,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,isotonic,0.722642,0.018507,0.10006,0.017213,0.155377,0.005159
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,mlp_head,0.709427,0.057397,0.154506,0.039278,0.172727,0.015959
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,monotone_platt,0.738818,0.0,0.079625,0.011648,0.150608,0.003055
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,raw,0.753286,0.0,0.090232,0.0,0.14823,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,isotonic,0.714645,0.018759,0.076039,0.015647,0.150006,0.004272
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,mlp_head,0.733542,0.012212,0.111925,0.023692,0.158152,0.009482
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,monotone_platt,0.738818,0.0,0.072239,0.005324,0.147647,0.001753
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,monotone_temperature,0.754771,0.0,0.079656,0.0,0.144642,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,75,raw,0.753286,0.0,0.090232,0.0,0.14823,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,isotonic,0.733908,0.004996,0.081014,0.007802,0.151122,0.003465
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,mlp_head,0.737595,0.001055,0.092669,0.015145,0.152092,0.003976
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,monotone_platt,0.738818,0.0,0.081839,0.005849,0.150086,0.001942
