cal_size,method_a,method_b,mean_rank_a,mean_rank_b,rank_diff,higher_rank_method,CD_05,CD_10,sig_CD_05,sig_CD_10,wilcoxon_p,wilcoxon_sig_bonf
10,isotonic_regression,learned_mlp_head,2.65,3.2,0.55,learned_mlp_head,1.049,0.935,False,False,0.388376,False
10,isotonic_regression,monotone_platt,2.65,2.2,0.45,isotonic_regression,1.049,0.935,False,False,0.036234,False
10,isotonic_regression,temperature_scaling,2.65,1.95,0.7,isotonic_regression,1.049,0.935,False,False,0.053169,False
10,learned_mlp_head,monotone_platt,3.2,2.2,1.0,learned_mlp_head,1.049,0.935,False,True,0.08255,False
10,learned_mlp_head,temperature_scaling,3.2,1.95,1.25,learned_mlp_head,1.049,0.935,True,True,0.012079,False
10,monotone_platt,temperature_scaling,2.2,1.95,0.25,monotone_platt,1.049,0.935,False,False,0.351979,False
100,isotonic_regression,learned_mlp_head,2.9,2.65,0.25,isotonic_regression,1.049,0.935,False,False,0.570597,False
100,isotonic_regression,monotone_platt,2.9,1.75,1.15,isotonic_regression,1.049,0.935,True,True,1e-05,True
100,isotonic_regression,temperature_scaling,2.9,2.7,0.2,isotonic_regression,1.049,0.935,False,False,0.869488,False
100,learned_mlp_head,monotone_platt,2.65,1.75,0.9,learned_mlp_head,1.049,0.935,False,False,0.026642,False
100,learned_mlp_head,temperature_scaling,2.65,2.7,0.05,temperature_scaling,1.049,0.935,False,False,0.898317,False
100,monotone_platt,temperature_scaling,1.75,2.7,0.95,temperature_scaling,1.049,0.935,False,True,0.113987,False
150,isotonic_regression,learned_mlp_head,2.95,2.55,0.4,isotonic_regression,1.049,0.935,False,False,0.34881,False
150,isotonic_regression,monotone_platt,2.95,1.65,1.3,isotonic_regression,1.049,0.935,True,True,2e-06,True
150,isotonic_regression,temperature_scaling,2.95,2.85,0.1,isotonic_regression,1.049,0.935,False,False,0.34881,False
150,learned_mlp_head,monotone_platt,2.55,1.65,0.9,learned_mlp_head,1.049,0.935,False,False,0.010689,False
150,learned_mlp_head,temperature_scaling,2.55,2.85,0.3,temperature_scaling,1.049,0.935,False,False,0.311794,False
150,monotone_platt,temperature_scaling,1.65,2.85,1.2,temperature_scaling,1.049,0.935,True,True,0.017181,False
20,isotonic_regression,learned_mlp_head,2.8,3.35,0.55,learned_mlp_head,1.049,0.935,False,False,0.039989,False
20,isotonic_regression,monotone_platt,2.8,1.9,0.9,isotonic_regression,1.049,0.935,False,False,0.002325,True
20,isotonic_regression,temperature_scaling,2.8,1.95,0.85,isotonic_regression,1.049,0.935,False,False,0.08255,False
20,learned_mlp_head,monotone_platt,3.35,1.9,1.45,learned_mlp_head,1.049,0.935,True,True,0.000708,True
20,learned_mlp_head,temperature_scaling,3.35,1.95,1.4,learned_mlp_head,1.049,0.935,True,True,8.2e-05,True
20,monotone_platt,temperature_scaling,1.9,1.95,0.05,temperature_scaling,1.049,0.935,False,False,0.840534,False
50,isotonic_regression,learned_mlp_head,2.9,2.95,0.05,learned_mlp_head,1.049,0.935,False,False,0.430433,False
50,isotonic_regression,monotone_platt,2.9,1.9,1.0,isotonic_regression,1.049,0.935,False,True,0.000168,True
50,isotonic_regression,temperature_scaling,2.9,2.25,0.65,isotonic_regression,1.049,0.935,False,False,0.570597,False
50,learned_mlp_head,monotone_platt,2.95,1.9,1.05,learned_mlp_head,1.049,0.935,True,True,0.003654,True
50,learned_mlp_head,temperature_scaling,2.95,2.25,0.7,learned_mlp_head,1.049,0.935,False,False,0.012079,False
50,monotone_platt,temperature_scaling,1.9,2.25,0.35,temperature_scaling,1.049,0.935,False,False,0.474905,False
75,isotonic_regression,learned_mlp_head,2.85,2.7,0.15,isotonic_regression,1.049,0.935,False,False,0.230513,False
75,isotonic_regression,monotone_platt,2.85,1.8,1.05,isotonic_regression,1.049,0.935,True,True,8.2e-05,True
75,isotonic_regression,temperature_scaling,2.85,2.65,0.2,isotonic_regression,1.049,0.935,False,False,0.545876,False
75,learned_mlp_head,monotone_platt,2.7,1.8,0.9,learned_mlp_head,1.049,0.935,False,False,0.015312,False
75,learned_mlp_head,temperature_scaling,2.7,2.65,0.05,learned_mlp_head,1.049,0.935,False,False,0.498009,False
75,monotone_platt,temperature_scaling,1.8,2.65,0.85,temperature_scaling,1.049,0.935,False,False,0.048441,False
full,isotonic_regression,learned_mlp_head,2.75,2.75,0.0,learned_mlp_head,1.049,0.935,False,False,0.060138,False
full,isotonic_regression,monotone_platt,2.75,1.5,1.25,isotonic_regression,1.049,0.935,True,True,7.9e-05,True
full,isotonic_regression,temperature_scaling,2.75,3.0,0.25,temperature_scaling,1.049,0.935,False,False,0.132627,False
full,learned_mlp_head,monotone_platt,2.75,1.5,1.25,learned_mlp_head,1.049,0.935,True,True,0.014537,False
full,learned_mlp_head,temperature_scaling,2.75,3.0,0.25,temperature_scaling,1.049,0.935,False,False,0.347274,False
full,monotone_platt,temperature_scaling,1.5,3.0,1.5,temperature_scaling,1.049,0.935,True,True,0.014537,False
