cal_size,method_a,method_b,mean_rank_a,mean_rank_b,rank_diff,higher_rank_method,CD_05,CD_10,sig_CD_05,sig_CD_10,wilcoxon_p,wilcoxon_sig_bonf
10,isotonic_regression,learned_mlp_head,2.5,2.9,0.4,learned_mlp_head,1.049,0.935,False,False,0.474905,False
10,isotonic_regression,monotone_platt,2.5,2.5,0.0,monotone_platt,1.049,0.935,False,False,0.728506,False
10,isotonic_regression,temperature_scaling,2.5,2.1,0.4,isotonic_regression,1.049,0.935,False,False,0.409098,False
10,learned_mlp_head,monotone_platt,2.9,2.5,0.4,learned_mlp_head,1.049,0.935,False,False,0.621513,False
10,learned_mlp_head,temperature_scaling,2.9,2.1,0.8,learned_mlp_head,1.049,0.935,False,False,0.388376,False
10,monotone_platt,temperature_scaling,2.5,2.1,0.4,monotone_platt,1.049,0.935,False,False,0.64166,False
100,isotonic_regression,learned_mlp_head,2.1,2.9,0.8,learned_mlp_head,1.049,0.935,False,False,0.06958,False
100,isotonic_regression,monotone_platt,2.1,2.15,0.05,monotone_platt,1.049,0.935,False,False,0.869488,False
100,isotonic_regression,temperature_scaling,2.1,2.85,0.75,temperature_scaling,1.049,0.935,False,False,0.036234,False
100,learned_mlp_head,monotone_platt,2.9,2.15,0.75,learned_mlp_head,1.049,0.935,False,False,0.00486,True
100,learned_mlp_head,temperature_scaling,2.9,2.85,0.05,learned_mlp_head,1.049,0.935,False,False,0.34881,False
100,monotone_platt,temperature_scaling,2.15,2.85,0.7,temperature_scaling,1.049,0.935,False,False,0.013617,False
150,isotonic_regression,learned_mlp_head,1.95,2.85,0.9,learned_mlp_head,1.049,0.935,False,False,0.06958,False
150,isotonic_regression,monotone_platt,1.95,2.05,0.1,monotone_platt,1.049,0.935,False,False,0.452375,False
150,isotonic_regression,temperature_scaling,1.95,3.15,1.2,temperature_scaling,1.049,0.935,True,True,0.007296,True
150,learned_mlp_head,monotone_platt,2.85,2.05,0.8,learned_mlp_head,1.049,0.935,False,False,0.015312,False
150,learned_mlp_head,temperature_scaling,2.85,3.15,0.3,temperature_scaling,1.049,0.935,False,False,0.075851,False
150,monotone_platt,temperature_scaling,2.05,3.15,1.1,temperature_scaling,1.049,0.935,True,True,0.001986,True
20,isotonic_regression,learned_mlp_head,2.6,3.35,0.75,learned_mlp_head,1.049,0.935,False,False,0.029575,False
20,isotonic_regression,monotone_platt,2.6,1.8,0.8,isotonic_regression,1.049,0.935,False,False,0.036234,False
20,isotonic_regression,temperature_scaling,2.6,2.25,0.35,isotonic_regression,1.049,0.935,False,False,0.261099,False
20,learned_mlp_head,monotone_platt,3.35,1.8,1.55,learned_mlp_head,1.049,0.935,True,True,0.001209,True
20,learned_mlp_head,temperature_scaling,3.35,2.25,1.1,learned_mlp_head,1.049,0.935,True,True,0.004221,True
20,monotone_platt,temperature_scaling,1.8,2.25,0.45,temperature_scaling,1.049,0.935,False,False,0.184181,False
50,isotonic_regression,learned_mlp_head,2.55,3.1,0.55,learned_mlp_head,1.049,0.935,False,False,0.277355,False
50,isotonic_regression,monotone_platt,2.55,1.9,0.65,isotonic_regression,1.049,0.935,False,False,0.017181,False
50,isotonic_regression,temperature_scaling,2.55,2.45,0.1,isotonic_regression,1.049,0.935,False,False,0.430433,False
50,learned_mlp_head,monotone_platt,3.1,1.9,1.2,learned_mlp_head,1.049,0.935,True,True,0.004221,True
50,learned_mlp_head,temperature_scaling,3.1,2.45,0.65,learned_mlp_head,1.049,0.935,False,False,0.869488,False
50,monotone_platt,temperature_scaling,1.9,2.45,0.55,temperature_scaling,1.049,0.935,False,False,0.06958,False
75,isotonic_regression,learned_mlp_head,2.1,3.05,0.95,learned_mlp_head,1.049,0.935,False,True,0.105398,False
75,isotonic_regression,monotone_platt,2.1,2.05,0.05,isotonic_regression,1.049,0.935,False,False,0.595819,False
75,isotonic_regression,temperature_scaling,2.1,2.8,0.7,temperature_scaling,1.049,0.935,False,False,0.105398,False
75,learned_mlp_head,monotone_platt,3.05,2.05,1.0,learned_mlp_head,1.049,0.935,False,True,0.002325,True
75,learned_mlp_head,temperature_scaling,3.05,2.8,0.25,learned_mlp_head,1.049,0.935,False,False,0.701181,False
75,monotone_platt,temperature_scaling,2.05,2.8,0.75,temperature_scaling,1.049,0.935,False,False,0.010689,False
full,isotonic_regression,learned_mlp_head,2.0,3.0,1.0,learned_mlp_head,1.049,0.935,False,True,0.132627,False
full,isotonic_regression,monotone_platt,2.0,2.0,0.0,monotone_platt,1.049,0.935,False,False,1.0,False
full,isotonic_regression,temperature_scaling,2.0,3.0,1.0,temperature_scaling,1.049,0.935,False,True,0.000715,True
full,learned_mlp_head,monotone_platt,3.0,2.0,1.0,learned_mlp_head,1.049,0.935,False,True,0.000715,True
full,learned_mlp_head,temperature_scaling,3.0,3.0,0.0,temperature_scaling,1.049,0.935,False,False,0.060138,False
full,monotone_platt,temperature_scaling,2.0,3.0,1.0,temperature_scaling,1.049,0.935,False,True,0.000715,True
