dataset_id,dataset_name,model_id,model_name,cal_size,effective_n,method,ece_ew_mean,brier_mean,ece_rank,brier_rank,best_by_ece,best_by_brier,mlp_worst_by_ece,mlp_worst_by_brier
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,isotonic_regression,0.11149587005063606,0.11858697400871636,2,2,False,False,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,learned_mlp_head,0.10999360836665337,0.12942977279144705,1,4,True,False,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,monotone_platt,0.12239740980239824,0.11597161529615004,3,1,False,True,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,temperature_scaling,0.15215071580063075,0.12571911598957955,4,3,False,False,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,isotonic_regression,0.10708290819122539,0.11407875646391559,2,2,False,False,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,learned_mlp_head,0.11885680526905751,0.13243314877495985,3,4,False,False,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,monotone_platt,0.10635722725590932,0.10999718064858824,1,1,True,True,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,temperature_scaling,0.12066599786098361,0.11598755879399707,4,3,False,False,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,50,isotonic_regression,0.07437636883015994,0.10002618142420891,2,2,False,False,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,50,learned_mlp_head,0.08200924672044022,0.11190070208171617,3,4,False,False,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,50,monotone_platt,0.06791820717025918,0.09388831342935666,1,1,True,True,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,50,temperature_scaling,0.11797317854576547,0.11026339602720463,4,3,False,False,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,75,isotonic_regression,0.0600499079202468,0.09672469543882706,1,2,True,False,False,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,75,learned_mlp_head,0.07320746916755816,0.10595165774609597,3,3,False,False,False,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,75,monotone_platt,0.062322363844250106,0.09078459414883637,2,1,False,True,False,False
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,75,temperature_scaling,0.11499144067783892,0.11036076815983034,4,4,False,False,False,False
