dataset_id,dataset_name,model_id,model_name,cal_size,effective_n,rep,seed,min_class_pos_in_cal,min_class_neg_in_cal,method,ece_ew,brier,auroc,status
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,0,42,2,4,temperature_scaling,0.13667386938883352,0.16248423878261387,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,0,42,2,4,monotone_platt,0.1618256928380668,0.17587701562587424,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,0,42,2,4,isotonic_regression,0.19133545333600638,0.1978588400528854,0.7011989804930981,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,0,42,2,4,learned_mlp_head,0.2269302091141439,0.20830697524036,0.6339281718693484,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,1,43,1,5,temperature_scaling,0.13875812530128973,0.1719916350187368,0.7330115830115831,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,1,43,1,5,monotone_platt,0.172272083775236,0.19585526498216613,0.7329897965192083,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,1,43,1,5,isotonic_regression,0.19434498899839064,0.20598276166869436,0.7120507986978575,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,1,43,1,5,learned_mlp_head,0.12112078802959289,0.15728790775591805,0.742555942497119,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,2,44,2,5,temperature_scaling,0.1048465318666496,0.1521078633995248,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,2,44,2,5,monotone_platt,0.16225468437114435,0.18208832067664266,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,2,44,2,5,isotonic_regression,0.18595322739967474,0.2040633425116158,0.7299794290088408,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,2,44,2,5,learned_mlp_head,0.10235686187917085,0.15878175666421301,0.7191636846930964,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,3,45,0,5,temperature_scaling,0.13462078261464458,0.16059997245267377,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,3,45,0,5,monotone_platt,0.1529883877233619,0.1718131314258208,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,3,45,0,5,isotonic_regression,0.15403035698380124,0.18400682650107528,0.681543329043329,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,3,45,0,5,learned_mlp_head,0.11939436984803393,0.15785894578982068,0.7103282189752778,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,4,46,0,5,temperature_scaling,0.08796349258779429,0.15081846182905814,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,4,46,0,5,monotone_platt,0.1934271203152403,0.2073078283938486,0.7405606026194261,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,4,46,0,5,isotonic_regression,0.18940046827113638,0.20398976939011523,0.7092375148257501,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,4,46,0,5,learned_mlp_head,0.09114480948104606,0.147441950535997,0.7437672630613806,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,0,42,1,8,temperature_scaling,0.09045060001826286,0.14954270431846,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,0,42,1,8,monotone_platt,0.08948158215489024,0.15065498187630497,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,0,42,1,8,isotonic_regression,0.10014310438882985,0.16487090639641028,0.7062079979138803,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,0,42,1,8,learned_mlp_head,0.12560037572149169,0.16271453118927523,0.7371984337278455,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,1,43,1,8,temperature_scaling,0.0756788070930295,0.146052262220516,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,1,43,1,8,monotone_platt,0.08746488017943026,0.1518182114263451,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,1,43,1,8,isotonic_regression,0.11594166046847205,0.17168774027143183,0.7160905443258385,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,1,43,1,8,learned_mlp_head,0.08635737097440914,0.15051916046618513,0.7276350047526519,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,2,44,2,5,temperature_scaling,0.10341822356215753,0.1527237816931086,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,2,44,2,5,monotone_platt,0.12161267235412558,0.1592771440759572,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,2,44,2,5,isotonic_regression,0.1266005542556024,0.16677843038949164,0.6880201588142765,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,2,44,2,5,learned_mlp_head,0.12784684632224433,0.16172097168547633,0.7319149149149149,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,3,45,2,9,temperature_scaling,0.08852307338969381,0.15130150519935262,0.738817683229448,ok
