cell,model,dataset,class,ece,auroc,prevalence,log_npos,feature_spread,objective,dataset_cat,multilabel
M1_D1,MERL,PTB-XL,NORM,0.09857082081777342,0.858975509105589,0.47491639852523804,2.1522883443830563,34.77290344238281,contrastive,D1,1
M1_D1,MERL,PTB-XL,MI,0.09652294926731451,0.7595559845559845,0.13377925753593445,1.6020599913279623,34.77290344238281,contrastive,D1,1
M1_D1,MERL,PTB-XL,STTC,0.07931906238256968,0.8745610612563403,0.22073578834533691,1.8195439355418688,34.77290344238281,contrastive,D1,1
M1_D1,MERL,PTB-XL,CD,0.0908328121297885,0.8279490944689183,0.24080267548561096,1.8573324964312685,34.77290344238281,contrastive,D1,1
M1_D1,MERL,PTB-XL,HYP,0.07002731261856505,0.818030303030303,0.08026755601167679,1.380211241711606,34.77290344238281,contrastive,D1,1
M2_D1,ST-MEM,PTB-XL,NORM,0.1524911653635153,0.8795191531353728,0.47491639852523804,2.1522883443830563,0.2273503839969635,masked,D1,1
M2_D1,ST-MEM,PTB-XL,MI,0.12068685057117841,0.8162162162162162,0.13377925753593445,1.6020599913279623,0.2273503839969635,masked,D1,1
M2_D1,ST-MEM,PTB-XL,STTC,0.13018389443677897,0.8268305371309663,0.22073578834533691,1.8195439355418688,0.2273503839969635,masked,D1,1
M2_D1,ST-MEM,PTB-XL,CD,0.10846838643452239,0.8865638766519824,0.24080267548561096,1.8573324964312685,0.2273503839969635,masked,D1,1
M2_D1,ST-MEM,PTB-XL,HYP,0.10778873894600584,0.7792424242424242,0.08026755601167679,1.380211241711606,0.2273503839969635,masked,D1,1
M3_D1,HuBERT-ECG,PTB-XL,NORM,0.17794302174226012,0.8648066744415537,0.47491639852523804,2.1522883443830563,0.6333665251731873,masked,D1,1
M3_D1,HuBERT-ECG,PTB-XL,MI,0.1217513347355947,0.7852316602316601,0.13377925753593445,1.6020599913279623,0.6333665251731873,masked,D1,1
M3_D1,HuBERT-ECG,PTB-XL,STTC,0.12790740429861136,0.8247496423462088,0.22073578834533691,1.8195439355418688,0.6333665251731873,masked,D1,1
