dataset_id,dataset_name,model_id,model_name,recal_method,class_name,status,recal_status,used_method,test_pos,test_neg,auc_raw,auc_recal,raw_minus_recal_auc,recal_minus_raw_auc,z_statistic,p_value,nominal_significant_degradation
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,NORM,computed,fit_platt_nonnegative_slope,platt_scaling,108,85,0.7233115468409586,0.7233115468409586,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,MI,computed,fit_platt_nonnegative_slope,platt_scaling,25,168,0.7452380952380953,0.7452380952380953,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,STTC,computed,fit_platt_nonnegative_slope,platt_scaling,45,148,0.7253753753753754,0.7253753753753754,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,CD,computed,fit_platt_nonnegative_slope,platt_scaling,40,153,0.6112745098039216,0.6112745098039216,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,HYP,computed,fit_platt_nonnegative_slope,platt_scaling,18,175,0.8888888888888888,0.8888888888888888,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,NORM,computed,fit_platt_nonnegative_slope,platt_scaling,108,85,0.930718954248366,0.930718954248366,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,MI,computed,fit_platt_nonnegative_slope,platt_scaling,25,168,0.8438095238095238,0.8438095238095238,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,STTC,computed,fit_platt_nonnegative_slope,platt_scaling,45,148,0.9061561561561562,0.9061561561561562,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,CD,computed,fit_platt_nonnegative_slope,platt_scaling,40,153,0.8601307189542484,0.8601307189542484,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,HYP,computed,fit_platt_nonnegative_slope,platt_scaling,18,175,0.8555555555555555,0.8555555555555555,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,1dAVb,computed,fit_platt_nonnegative_slope,platt_scaling,11,189,0.49158249158249157,0.49158249158249157,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,RBBB,computed,fallback_temperature_negative_platt_slope,temperature_scaling,19,181,0.6673451584763013,0.6673451584763013,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,LBBB,computed,fallback_temperature_negative_platt_slope,temperature_scaling,15,185,0.66990990990991,0.66990990990991,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,SB,computed,fit_platt_nonnegative_slope,platt_scaling,14,186,0.44738863287250386,0.44738863287250386,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,ST,computed,fit_platt_nonnegative_slope,platt_scaling,19,181,0.5242803140447805,0.5242803140447805,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,AF,computed,fit_platt_nonnegative_slope,platt_scaling,21,179,0.48949188613993083,0.48949188613993083,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,1dAVb,computed,fit_platt_nonnegative_slope,platt_scaling,11,189,0.9634439634439635,0.9634439634439635,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,RBBB,computed,fit_platt_nonnegative_slope,platt_scaling,19,181,0.9979645245710963,0.9979645245710963,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,LBBB,computed,fit_platt_nonnegative_slope,platt_scaling,15,185,0.9819819819819819,0.9819819819819819,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,SB,computed,fit_platt_nonnegative_slope,platt_scaling,14,186,0.9900153609831029,0.9900153609831029,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,ST,computed,fit_platt_nonnegative_slope,platt_scaling,19,181,0.992148880488514,0.992148880488514,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,AF,computed,fit_platt_nonnegative_slope,platt_scaling,21,179,0.9960095770151637,0.9960095770151637,0.0,-0.0,0.0,1.0,False
