dataset,model,n_test,n_classes,auroc,auroc_ci,ece,ece_ci,brier,sce,platt_ece,isotonic_ece,isotonic_auroc
PTB-XL,MERL,299,5,0.8278,"[0.7947605236335503, 0.8570477759000995]",0.0871,"[0.08601272467958765, 0.1190893051624179]",0.1221,-0.0032,0.0539,0.0495,0.8180
PTB-XL,ST-MEM,299,5,0.8377,"[0.8083072196588542, 0.8637306647143353]",0.1239,"[0.11597840185665555, 0.15087599452719355]",0.1348,-0.0001,0.0490,0.0444,0.8237
PTB-XL,HuBERT-ECG,299,5,0.7865,"[0.7487769073389209, 0.8242825265190163]",0.1365,"[0.12630655446551642, 0.162512014311526]",0.1421,-0.0007,0.0526,0.0398,0.7743
PTB-XL,ECGFM-KED,299,5,0.7694,"[0.7300213267276816, 0.8084756839234679]",0.0792,"[0.07921621027710812, 0.11204276062486819]",0.1327,0.0068,0.0619,0.0309,0.7643
PTB-XL,ECG-FM,299,5,0.8148,"[0.7779089783719427, 0.8476563795486143]",0.0882,"[0.08485202443845818, 0.12013382256147932]",0.1248,0.0083,0.0683,0.0436,0.8009
PTB-XL,S4D,299,5,0.7712,"[0.7382010424719031, 0.8045493250195219]",0.0643,"[0.06623157748012216, 0.09624605154552344]",0.1299,0.0069,0.0570,0.0572,0.7613
CODE-15%,MERL,1197,7,0.8645,"[0.8358194514352437, 0.8923134700159661]",0.0199,"[0.018576047873834257, 0.026504629203134494]",0.0439,0.0017,0.0168,0.0131,0.8464
CODE-15%,ST-MEM,1197,7,0.9477,"[0.9379334349173611, 0.9561607171490426]",0.0283,"[0.02504256795161155, 0.032994247174496366]",0.0409,0.0004,0.0167,0.0128,0.9291
CODE-15%,HuBERT-ECG,1197,7,0.8777,"[0.8574400212310476, 0.8955364249870664]",0.0325,"[0.02937305739177472, 0.03784797820182454]",0.0460,-0.0005,0.0170,0.0143,0.8733
CODE-15%,ECG-FM,1197,7,0.6684,"[0.6216947690105803, 0.7156600155555295]",0.0242,"[0.022883584899183636, 0.03127064020368887]",0.0526,0.0027,0.0161,0.0135,0.6668
CODE-15%,S4D,1197,7,0.6848,"[0.6443680339791612, 0.7278385032843526]",0.0104,"[0.010035929293912995, 0.017335663617109448]",0.0471,0.0005,0.0116,0.0097,0.6884
CPSC2018,MERL,1031,9,0.9098,"[0.8957235571509164, 0.9212545970976647]",0.0243,"[0.02605508040628017, 0.0339994835344685]",0.0479,-0.0006,0.0237,0.0186,0.9053
CPSC2018,ST-MEM,1031,9,0.9501,"[0.939984841036715, 0.958273872350626]",0.0339,"[0.03315028830344645, 0.041038836993230667]",0.0418,0.0008,0.0193,0.0156,0.9411
CPSC2018,HuBERT-ECG,1031,9,0.8758,"[0.8622675820159857, 0.8885611774114646]",0.0506,"[0.04906481039536555, 0.05957469908121686]",0.0676,0.0038,0.0296,0.0203,0.8675
CPSC2018,ECGFM-KED,1031,9,0.8213,"[0.8049616967541773, 0.8381361067922872]",0.0251,"[0.0279901720026312, 0.03691974012674766]",0.0723,0.0025,0.0290,0.0205,0.8137
CPSC2018,ECG-FM,1031,9,0.8466,"[0.8319406349826074, 0.8609766720795995]",0.0323,"[0.03337215095083227, 0.04258395095458659]",0.0666,0.0018,0.0284,0.0206,0.8366
CPSC2018,S4D,1031,9,0.8029,"[0.7839080622746512, 0.8225500665236893]",0.0232,"[0.025856904901250668, 0.03431763961122753]",0.0754,0.0003,0.0296,0.0207,0.7976
MIMIC-IV-ECG,MERL,301,5,0.8605,"[0.826598791882206, 0.8922509566398029]",0.0738,"[0.06624813064477304, 0.09394578424318896]",0.0822,-0.0053,0.0402,0.0444,0.8538
MIMIC-IV-ECG,ST-MEM,301,5,0.8537,"[0.8160278319530442, 0.8898327039292775]",0.0801,"[0.07176780536963284, 0.09781555670201175]",0.0822,-0.0099,0.0381,0.0371,0.8456
MIMIC-IV-ECG,HuBERT-ECG,301,5,0.7948,"[0.7581060489325874, 0.8288471668919645]",0.1062,"[0.09822015982893, 0.12801192667675357]",0.1132,-0.0151,0.0371,0.0427,0.7767
MIMIC-IV-ECG,ECGFM-KED,301,5,0.7320,"[0.6893725235446447, 0.769927785983745]",0.0633,"[0.05888369143401341, 0.08566726008214492]",0.0966,-0.0041,0.0520,0.0584,0.7182
MIMIC-IV-ECG,ECG-FM,301,5,0.7713,"[0.734095017123714, 0.8126430221222669]",0.0756,"[0.07226700418588655, 0.10123374312171535]",0.0975,-0.0013,0.0345,0.0356,0.7667
MIMIC-IV-ECG,S4D,301,5,0.7934,"[0.7580727081083459, 0.8259988319226266]",0.0434,"[0.04511987312061275, 0.06729172207934958]",0.0866,-0.0039,0.0474,0.0398,0.7800
