cell,model,dataset,method,macro_ece,macro_nll,macro_brier,macro_auroc,macro_auroc_loss_vs_raw,max_class_auroc_loss,selections
M1_D1,MERL,PTB-XL,raw,0.0871,0.4343,0.1221,0.8278,0.0,0.0,
M1_D1,MERL,PTB-XL,platt,0.0539,0.377,0.1152,0.8278,0.0,0.0,
M1_D1,MERL,PTB-XL,temperature,0.0638,0.373,0.1164,0.8278,0.0,0.0,
M1_D1,MERL,PTB-XL,isotonic,0.0502,0.3947,0.1144,0.818,0.0098,0.0225,
M1_D1,MERL,PTB-XL,ranksafe_eps0.005,0.0534,0.3843,0.1151,0.8248,0.0031,0.0153,"{""eps0.005"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""temperature"", ""CD"": ""isotonic"", ""HYP"": ""platt""}, ""eps0.01"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""temperature"", ""CD"": ""isotonic"", ""HYP"": ""platt""}}"
M1_D1,MERL,PTB-XL,ranksafe_eps0.01,0.0534,0.3843,0.1151,0.8248,0.0031,0.0153,"{""eps0.005"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""temperature"", ""CD"": ""isotonic"", ""HYP"": ""platt""}, ""eps0.01"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""temperature"", ""CD"": ""isotonic"", ""HYP"": ""platt""}}"
M2_D1,ST-MEM,PTB-XL,raw,0.1239,0.559,0.1348,0.8377,0.0,0.0,
M2_D1,ST-MEM,PTB-XL,platt,0.049,0.3847,0.118,0.8377,0.0,0.0,
M2_D1,ST-MEM,PTB-XL,temperature,0.0725,0.3651,0.1159,0.8377,0.0,0.0,
M2_D1,ST-MEM,PTB-XL,isotonic,0.0451,0.389,0.1119,0.8237,0.0139,0.0291,
M2_D1,ST-MEM,PTB-XL,ranksafe_eps0.005,0.0588,0.3815,0.1173,0.8377,0.0,0.0,"{""eps0.005"": {""NORM"": ""platt"", ""MI"": ""platt"", ""STTC"": ""platt"", ""CD"": ""temperature"", ""HYP"": ""platt""}, ""eps0.01"": {""NORM"": ""platt"", ""MI"": ""platt"", ""STTC"": ""platt"", ""CD"": ""isotonic"", ""HYP"": ""platt""}}"
M2_D1,ST-MEM,PTB-XL,ranksafe_eps0.01,0.0535,0.3871,0.1174,0.837,0.0007,0.0035,"{""eps0.005"": {""NORM"": ""platt"", ""MI"": ""platt"", ""STTC"": ""platt"", ""CD"": ""temperature"", ""HYP"": ""platt""}, ""eps0.01"": {""NORM"": ""platt"", ""MI"": ""platt"", ""STTC"": ""platt"", ""CD"": ""isotonic"", ""HYP"": ""platt""}}"
M3_D1,HuBERT-ECG,PTB-XL,raw,0.1365,0.6428,0.1421,0.7865,0.0,0.0,
M3_D1,HuBERT-ECG,PTB-XL,platt,0.0526,0.393,0.12,0.7865,0.0,0.0,
M3_D1,HuBERT-ECG,PTB-XL,temperature,0.0858,0.4032,0.1259,0.7865,0.0,0.0,
