dataset_id,dataset_name,model_id,model_name,recal_method,class_name,status,test_pos,test_neg,auc_raw,auc_recal,raw_minus_recal_auc,recal_minus_raw_auc,z_statistic,p_value,nominal_significant_degradation
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,NORM,computed,108,85,0.7233115468409586,0.7233115468409586,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,MI,computed,25,168,0.7452380952380953,0.7452380952380953,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,STTC,computed,45,148,0.7253753753753754,0.7253753753753754,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,CD,computed,40,153,0.6112745098039216,0.6112745098039216,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,HYP,computed,18,175,0.8888888888888888,0.8888888888888888,0.0,-0.0,0.0,1.0,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,NORM,computed,108,85,0.7233115468409586,0.7169934640522875,0.0063180827886710755,-0.0063180827886710755,1.2406653562311,0.2147293973156048,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,MI,computed,25,168,0.7452380952380953,0.7511904761904762,-0.005952380952380931,0.005952380952380931,-0.36958670137840777,0.7116904613507994,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,STTC,computed,45,148,0.7253753753753754,0.7040540540540542,0.02132132132132125,-0.02132132132132125,2.0973259130972286,0.03596473448018194,True
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,CD,computed,40,153,0.6112745098039216,0.604983660130719,0.006290849673202592,-0.006290849673202592,0.7404176430293768,0.459046616653793,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,HYP,computed,18,175,0.8888888888888888,0.8457142857142858,0.04317460317460309,-0.04317460317460309,2.3004274120260644,0.021424017309071345,True
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,NORM,computed,108,85,0.7233115468409586,0.7400871459694989,-0.01677559912854032,0.01677559912854032,-1.6062389639477301,0.10822141529606052,False
