dataset_id,dataset_name,model_id,model_name,recal_method,ece_ew,brier,auroc,ece_rank,brier_rank,best_by_ece,best_by_brier
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,0.07475190160944256,0.14723364133490258,0.738817683229448,2,2,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,0.06088315856381599,0.15132426271958144,0.7245871880283645,1,3,True,False
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,0.07893436022025624,0.14561316798940216,0.7495291257644199,3,1,False,True
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,0.04823684230291437,0.08877967931179402,0.87927418174477,1,1,True,True
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,0.05400975335095681,0.0922645318061092,0.8710850304085598,2,2,False,False
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,0.06464095749576224,0.09883510144649599,0.8675339036515506,3,3,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,0.02015761410214347,0.07679726724280035,0.5483330655043196,2,1,False,True
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,0.039240339694386575,0.0778922984026776,0.5678103673830538,3,3,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,0.0185695406422019,0.07695110664926498,0.5147475523618176,1,2,True,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,0.02872445073539431,0.020671502684410138,0.9869273814139704,2,1,False,True
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,0.01819841188161613,0.021184983521118823,0.9756544797855325,1,2,True,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,0.04548963172298803,0.028736802847057943,0.970551142916804,3,3,False,False
