dataset,dataset_id,model,model_id,metric,mean,std,min,max
PTB-XL,D1,MERL,M1,auroc,0.8441710290471438,0.013442636115582114,0.8222630070783378,0.8684471298358188
PTB-XL,D1,MERL,M1,ece,0.09228716283478089,0.0037284651743713453,0.08696017256253795,0.09898539064075884
PTB-XL,D1,MERL,M1,adaptive_ece,0.08515237121256748,0.004435286455145126,0.07765783259041995,0.0926554203200124
PTB-XL,D1,MERL,M1,brier,0.12074530007756079,0.004976646139389325,0.11277842321931617,0.1268951736072072
PTB-XL,D1,MERL,M1,nll,0.45055339525966315,0.025364329069389815,0.42393644839694494,0.4916708524541772
PTB-XL,D1,MERL,M1,ece_isotonic,0.05440752027507338,0.006881728644468199,0.043013792433461956,0.06246677331383057
PTB-XL,D1,MERL,M1,ece_reduction_pct,41.081718000729374,6.904669783566675,28.24216762377719,50.60982298161512
PTB-XL,D1,ST-MEM,M2,auroc,0.8517047714862661,0.014640199800636067,0.830411888390865,0.872762319764161
PTB-XL,D1,ST-MEM,M2,ece,0.119235861778867,0.008736967986281976,0.10492240254504456,0.13346698470478208
PTB-XL,D1,ST-MEM,M2,adaptive_ece,0.11000468767925553,0.01073496913252197,0.09270559929868187,0.12561035404761467
PTB-XL,D1,ST-MEM,M2,brier,0.12969371563672066,0.009360373509364937,0.11458538652645076,0.14313002238659972
PTB-XL,D1,ST-MEM,M2,nll,0.5678628011810632,0.055940630888223986,0.4631781363491614,0.6632021908267871
PTB-XL,D1,ST-MEM,M2,ece_isotonic,0.05222261517651412,0.0069477933760948496,0.03920268902257552,0.06490335979921177
PTB-XL,D1,ST-MEM,M2,ece_reduction_pct,56.04849015002893,5.985367774058521,47.46421576254797,68.43037067817869
PTB-XL,D1,HuBERT-ECG,M3,auroc,0.8009077873377887,0.018313483568327134,0.750964490390684,0.8196424895243755
PTB-XL,D1,HuBERT-ECG,M3,ece,0.14085678877530922,0.009342031713323217,0.13072669782276347,0.1613327396263732
PTB-XL,D1,HuBERT-ECG,M3,adaptive_ece,0.13196525017657235,0.010694177509215955,0.11904865234187043,0.15624084866967375
PTB-XL,D1,HuBERT-ECG,M3,brier,0.15390476920268367,0.008450607393722654,0.14366206050531333,0.1726909076402359
PTB-XL,D1,HuBERT-ECG,M3,nll,0.6957522939081928,0.053013252820257185,0.6308206978261177,0.8294384840079431
PTB-XL,D1,HuBERT-ECG,M3,ece_isotonic,0.05559249055945727,0.007369097176072984,0.046215420312075636,0.07443466492740347
PTB-XL,D1,HuBERT-ECG,M3,ece_reduction_pct,60.574781257574614,3.818573127775897,53.8626412098468,68.09405845044063
PTB-XL,D1,ECGFM-KED,M4,auroc,0.7782479272675841,0.01847747384715065,0.755304619286375,0.822008752053554
PTB-XL,D1,ECGFM-KED,M4,ece,0.08592657604466501,0.008670247385789073,0.07132802779154074,0.1024875911132189
PTB-XL,D1,ECGFM-KED,M4,adaptive_ece,0.08258067837329214,0.008387497727530814,0.06839407312785695,0.09782728979332536
PTB-XL,D1,ECGFM-KED,M4,brier,0.1404986129010982,0.007283966679000714,0.12891478017254446,0.15343733998378592
PTB-XL,D1,ECGFM-KED,M4,nll,0.5037764407334648,0.03200357045404354,0.4547171523419273,0.5696533051407974
PTB-XL,D1,ECGFM-KED,M4,ece_isotonic,0.058096121884463656,0.010794666542890106,0.03932295806428148,0.07960059303543997
PTB-XL,D1,ECGFM-KED,M4,ece_reduction_pct,32.07257417881853,12.553606951773803,13.020184973680903,50.635116298831136
PTB-XL,D1,ECG-FM,M5,auroc,0.8120528567097416,0.015044780592474735,0.792228330566078,0.8451097829951436
PTB-XL,D1,ECG-FM,M5,ece,0.09986690424383673,0.010358564859094884,0.07883495366989236,0.11479328553102093
PTB-XL,D1,ECG-FM,M5,adaptive_ece,0.09428637039572865,0.009076336449592794,0.07658358789842304,0.10576754487176392
PTB-XL,D1,ECG-FM,M5,brier,0.132537642525176,0.00829039613017039,0.12003113169747985,0.14557912694797132
PTB-XL,D1,ECG-FM,M5,nll,0.47950375417038826,0.03259672530277405,0.4227110621699578,0.5247092707738354
PTB-XL,D1,ECG-FM,M5,ece_isotonic,0.057135123361535034,0.005919650551262051,0.05155383079066622,0.07244200038876521
