metric,cal_size,better_method_by_rank,worse_method_by_rank,rank_diff,sig_cd_05,wilcoxon_p,wilcoxon_sig_bonf
brier,10,temperature_scaling,learned_mlp_head,1.25,True,0.012079,False
brier,20,monotone_platt,isotonic_regression,0.9,False,0.002325,True
brier,20,monotone_platt,learned_mlp_head,1.45,True,0.000708,True
brier,20,temperature_scaling,learned_mlp_head,1.4,True,8.2e-05,True
brier,50,monotone_platt,isotonic_regression,1.0,False,0.000168,True
brier,50,monotone_platt,learned_mlp_head,1.05,True,0.003654,True
brier,75,monotone_platt,isotonic_regression,1.05,True,8.2e-05,True
brier,100,monotone_platt,isotonic_regression,1.15,True,1e-05,True
brier,150,monotone_platt,isotonic_regression,1.3,True,2e-06,True
brier,150,monotone_platt,temperature_scaling,1.2,True,0.017181,False
brier,full,monotone_platt,isotonic_regression,1.25,True,7.9e-05,True
brier,full,monotone_platt,learned_mlp_head,1.25,True,0.014537,False
brier,full,monotone_platt,temperature_scaling,1.5,True,0.014537,False
ece_ew,20,monotone_platt,learned_mlp_head,1.55,True,0.001209,True
ece_ew,20,temperature_scaling,learned_mlp_head,1.1,True,0.004221,True
ece_ew,50,monotone_platt,learned_mlp_head,1.2,True,0.004221,True
ece_ew,75,monotone_platt,learned_mlp_head,1.0,False,0.002325,True
ece_ew,100,monotone_platt,learned_mlp_head,0.75,False,0.00486,True
ece_ew,150,isotonic_regression,temperature_scaling,1.2,True,0.007296,True
ece_ew,150,monotone_platt,temperature_scaling,1.1,True,0.001986,True
ece_ew,full,isotonic_regression,temperature_scaling,1.0,False,0.000715,True
ece_ew,full,monotone_platt,learned_mlp_head,1.0,False,0.000715,True
ece_ew,full,monotone_platt,temperature_scaling,1.0,False,0.000715,True
