model,subgroup,n,macro_auroc,macro_ece,macro_nll,macro_ece_isotonic
MERL,age<55,98,0.859315313645309,0.09399193253637673,0.3252362771865911,0.06574980977979702
MERL,age55-70,109,0.7703259054290974,0.12153577168960294,0.508392282983263,0.09159062442701968
MERL,age>=70,92,0.816951949717021,0.1433337644116572,0.5112092775561529,0.08860092745771622
MERL,male,154,0.8273447915181944,0.11284530252494396,0.4711469384882438,0.0806474834757448
MERL,female,145,0.8260775597608554,0.10401499366161304,0.3950802132485277,0.05613210853478614
ST-MEM,age<55,98,0.8656464442365621,0.11092468220569947,0.42437728064702795,0.05642878487453094
ST-MEM,age55-70,109,0.8268101789097468,0.14651223058431734,0.5856098734192446,0.06059513869651758
ST-MEM,age>=70,92,0.7955153848183331,0.18858594476359372,0.7196435032747889,0.1127240557355321
ST-MEM,male,154,0.8421516558933554,0.13254124901418013,0.580168485470469,0.0641003626736097
ST-MEM,female,145,0.8331014008589335,0.13601852800021613,0.5364719289554088,0.05925808273722216
HuBERT-ECG,age<55,98,0.7971961000348451,0.1263304775617726,0.5200894690266176,0.0494069560736272
HuBERT-ECG,age55-70,109,0.7880622794773001,0.1527222776516096,0.6510229157833783,0.06528647929017758
HuBERT-ECG,age>=70,92,0.7754560025045218,0.18309459083196114,0.805870611651623,0.07810183979773208
HuBERT-ECG,male,154,0.781702210808004,0.151921001167695,0.6654196485119531,0.06913882193013726
HuBERT-ECG,female,145,0.7865149275076693,0.1329690908238097,0.6187227117136944,0.04939202741103434
ECGFM-KED,age<55,98,0.8448405990091725,0.09028771251461098,0.3484328248505512,0.07188485248919993
ECGFM-KED,age55-70,109,0.7308440509001842,0.1168810350173621,0.4977674871222934,0.07078815549635514
ECGFM-KED,age>=70,92,0.7286579047674369,0.14418243962996816,0.5835546164419099,0.08394376629608044
ECGFM-KED,male,154,0.7664674073600003,0.10321244138087952,0.4824647088800197,0.049460518051287816
ECGFM-KED,female,145,0.7716526986916963,0.09906379246001198,0.43881994766946963,0.04924729309232416
ECG-FM,age<55,98,0.8889189449259576,0.09105923828498103,0.2967072237292002,0.06439273815815932
ECG-FM,age55-70,109,0.8199741701960523,0.12257024930309726,0.45195386851751645,0.06294382856291009
ECG-FM,age>=70,92,0.7761912390871937,0.1437799894015787,0.6031625001821271,0.08742169242583862
ECG-FM,male,154,0.8047363529391115,0.10733066448410364,0.4585974446256228,0.06320239860198891
ECG-FM,female,145,0.8212446370921551,0.09693770915701169,0.4329561542367076,0.059508841761602926
S4D,age<55,98,0.6652943029605001,0.11738445698389707,0.4388583973224325,0.11509245453700268
S4D,age55-70,109,0.7319159049204428,0.07856826338579224,0.41754829577838015,0.07141450974015325
S4D,age>=70,92,0.8013519378402376,0.11360133855428897,0.4881183877458451,0.08422028429805975
S4D,male,154,0.7856675358394662,0.0860482031507438,0.42852310820561623,0.0751120825343057
S4D,female,145,0.7670479021705543,0.0795973658951288,0.41904821525944547,0.07568563574079255
